USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,GMV_TOTAL,QTY_TOTAL
2286511212,CONTROL,Fashion,02: 10-20,Shelby,135.214741,8
369773116,TREATMENT,Collectibles,06: 50-100,Shelby,1470.151541,27
289621108,CONTROL,Fashion,01: 0-10,Magi Native,6.657638,1
2208897158,TREATMENT,Home & Garden,01: 0-10,Shelby,19.730328,2
73952306,CONTROL,Collectibles,04: 30-40,Helix,129.689171,4
327153179,CONTROL,Lifestyle,02: 10-20,Magi Native,174.790356,15
1465567353,TREATMENT,Fashion,01: 0-10,Auto Relist,6.967609,1
129937649,CONTROL,Fashion,01: 0-10,Shelby,8.423125,1
1780418086,TREATMENT,Collectibles,02: 10-20,Magi Native,14.541683,1
2029066039,TREATMENT,Collectibles,07: 100-500,Magi Native,262.127650,2
63723980,TREATMENT,Fashion,03: 20-30,Helix,26.334058,1
2814236937,CONTROL,Fashion,05: 40-50,Shelby,138.893962,3
2766744305,CONTROL,Fashion,02: 10-20,Magi Native,55.552194,3
2146801898,CONTROL,Home & Garden,02: 10-20,CUB,274.297381,18
1304330968,TREATMENT,Collectibles,05: 40-50,Shelby,46.953868,1
139711156,TREATMENT,Parts & Accessories,03: 20-30,Magi Native,20.552425,1
1939449991,CONTROL,Fashion,03: 20-30,C2C BOLT,104.352411,4
2836667565,CONTROL,Electronics,02: 10-20,Shelby,15.633320,1
2410968157,TREATMENT,Parts & Accessories,03: 20-30,Magi Native,22.277481,1
186395340,CONTROL,Collectibles,01: 0-10,Magi Native,20.431132,2
1168794531,TREATMENT,Lifestyle,01: 0-10,Helix,8.800481,1
1737879518,CONTROL,Parts & Accessories,06: 50-100,Auto Relist,164.821931,2
2245494554,CONTROL,Home & Garden,01: 0-10,C2C BOLT,72.236720,11
160397988,CONTROL,Collectibles,03: 20-30,Helix,44.420192,2
2572091619,TREATMENT,Electronics,02: 10-20,Shelby,170.281895,10
397772262,CONTROL,Business & Industrial,02: 10-20,Shelby,19.043001,1
2765420518,CONTROL,Collectibles,01: 0-10,Magi Native,11.280249,2
670092315,TREATMENT,Collectibles,05: 40-50,Magi Native,83.927926,2
2671481667,CONTROL,Collectibles,06: 50-100,Shelby,61.845953,1
2660722561,TREATMENT,Fashion,02: 10-20,Magi Native,17.439238,1
392920017,CONTROL,Fashion,01: 0-10,Auto Relist,5.539047,1
2503080705,TREATMENT,Home & Garden,05: 40-50,Magi Native,44.811025,1
1433442143,CONTROL,Fashion,04: 30-40,Magi Native,65.484743,2
1843207589,TREATMENT,Home & Garden,04: 30-40,Shelby,109.864504,3
170537271,CONTROL,Fashion,02: 10-20,Shelby,19.959437,1
1000016464,CONTROL,Parts & Accessories,03: 20-30,Magi Native,28.220838,1
1908397134,CONTROL,Home & Garden,01: 0-10,Shelby,91.171905,13
135395238,CONTROL,Electronics,01: 0-10,Magi Native,16.904651,4
2137889725,TREATMENT,Lifestyle,01: 0-10,Helix,7.506689,1
2763450133,CONTROL,Electronics,07: 100-500,Magi Native,332.019372,1
2340468639,TREATMENT,Fashion,06: 50-100,Helix,515.266141,8
388057863,TREATMENT,Collectibles,06: 50-100,Shelby,147.680966,2
549790136,TREATMENT,Electronics,04: 30-40,Shelby,158.866876,4
2139327226,CONTROL,Media,01: 0-10,Others,16.538462,2
957822257,TREATMENT,Electronics,07: 100-500,Magi Native,351.722746,2
2075126736,TREATMENT,Fashion,01: 0-10,Helix,169.742815,30
101938846,CONTROL,Fashion,03: 20-30,Shelby,22.830038,1
1286011146,TREATMENT,Fashion,05: 40-50,Auto Relist,46.953868,1
1448179569,TREATMENT,Fashion,05: 40-50,Magi Native,91.347106,2
2741085775,TREATMENT,Fashion,06: 50-100,Magi Native,89.595096,1
2377565555,TREATMENT,Lifestyle,06: 50-100,Others,84.824238,1
769344121,CONTROL,Electronics,07: 100-500,Auto Relist,395.442134,1
106273965,TREATMENT,Fashion,02: 10-20,Magi Native,25.417622,2
562095823,TREATMENT,Electronics,06: 50-100,Helix,65.201726,1
2148166459,TREATMENT,Lifestyle,03: 20-30,Helix,21.751878,1
1077763602,CONTROL,Collectibles,06: 50-100,Shelby,63.004975,1
2498455851,CONTROL,Media,02: 10-20,Shelby,299.475891,21
