USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,LISTINGS_CNT,LISTINGS_CONV_7D,LISTINGS_CONV_14D
52320127,TREATMENT,Fashion,1) 0-10,Auto Relist,4,0,0
2833462876,CONTROL,Collectibles,2) 10-20,Shelby/Magi Native,5,0,0
1026185145,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,48,0,0
1928064388,TREATMENT,Collectibles,3) 20-50,Auto Relist,14,0,0
1495629150,TREATMENT,Collectibles,1) 0-10,Auto Relist,56,4,4
1030829930,TREATMENT,Media,1) 0-10,Helix,12,6,7
1053365113,TREATMENT,Home & Garden,1) 0-10,Auto Relist,7,0,0
292675875,TREATMENT,Fashion,2) 10-20,Helix,12,3,3
898540288,TREATMENT,Home & Garden,1) 0-10,Auto Relist,28,0,0
1042540572,CONTROL,Collectibles,3) 20-50,Auto Relist,12,0,0
956457596,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,70,7,10
70762316,CONTROL,Collectibles,4) 50-100,Helix,2,0,0
59466545,TREATMENT,Parts & Accessories,1) 0-10,Auto Relist,1,0,0
1566171880,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,10,1,1
2696015994,CONTROL,Home & Garden,4) 50-100,Helix,12,0,0
2413492975,CONTROL,Media,2) 10-20,Shelby/Magi Native,4,1,1
880268350,TREATMENT,Fashion,1) 0-10,Auto Relist,8,0,0
1436301768,CONTROL,Media,3) 20-50,Others,2,1,1
858927424,CONTROL,Media,1) 0-10,Auto Relist,72,2,2
1965834158,TREATMENT,Media,3) 20-50,Auto Relist,2,0,0
1490315798,TREATMENT,Home & Garden,3) 20-50,Helix,1,0,0
127115567,CONTROL,Collectibles,1) 0-10,Auto Relist,23,0,0
1095459849,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,39,2,2
2834911331,CONTROL,Collectibles,4) 50-100,Shelby/Magi Native,4,0,1
118814872,CONTROL,Fashion,5) 100-200,Others,2,0,0
747978196,CONTROL,Collectibles,1) 0-10,Auto Relist,25,1,1
138161355,CONTROL,Fashion,4) 50-100,Auto Relist,1,0,0
1176508509,TREATMENT,Fashion,4) 50-100,Shelby/Magi Native,31,0,0
128299342,TREATMENT,Media,1) 0-10,Shelby/Magi Native,3,0,0
296057343,CONTROL,Fashion,1) 0-10,Auto Relist,531,6,6
262814794,TREATMENT,Collectibles,4) 50-100,Shelby/Magi Native,1,0,0
2363928478,CONTROL,Collectibles,1) 0-10,Auto Relist,278,0,0
561859146,TREATMENT,Collectibles,1) 0-10,Auto Relist,27,0,0
1192637967,TREATMENT,Collectibles,2) 10-20,Auto Relist,13,0,0
2451812580,TREATMENT,Lifestyle,5) 100-200,Shelby/Magi Native,1,0,0
2824568874,TREATMENT,Collectibles,1) 0-10,Auto Relist,7,0,0
91076162,TREATMENT,Home & Garden,2) 10-20,Auto Relist,14,0,0
2218187366,TREATMENT,Fashion,6) 200-500,Helix,14,0,0
980686961,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,9,4,4
192052896,CONTROL,Fashion,4) 50-100,BLING/Magical Bling,39,0,0
783253920,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,5,1,1
146305804,CONTROL,Media,1) 0-10,Shelby/Magi Native,157,1,2
1049846800,TREATMENT,Collectibles,5) 100-200,Shelby/Magi Native,2,0,0
1631370312,CONTROL,Electronics,3) 20-50,Others,2,2,2
169413877,CONTROL,Parts & Accessories,1) 0-10,Shelby/Magi Native,19,6,6
147904597,CONTROL,Lifestyle,3) 20-50,BLING/Magical Bling,4,0,0
2821179315,CONTROL,Fashion,1) 0-10,Auto Relist,161,1,1
2250510999,CONTROL,Collectibles,1) 0-10,Auto Relist,108,1,1
2815074597,TREATMENT,Collectibles,2) 10-20,Auto Relist,136,4,5
367822750,TREATMENT,Fashion,2) 10-20,Auto Relist,83,0,0
2802833988,CONTROL,Fashion,1) 0-10,BLING/Magical Bling,26,1,1
343079607,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,5,0,0
1916899189,TREATMENT,Fashion,1) 0-10,Auto Relist,104,3,3
228293308,CONTROL,Media,1) 0-10,Shelby/Magi Native,4,1,1
1998207179,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,3,0,0
1348518789,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,6,0,0
1748289049,CONTROL,Media,2) 10-20,Auto Relist,32,1,2
455230308,TREATMENT,Home & Garden,2) 10-20,BLING/Magical Bling,3,0,0
2592013434,CONTROL,Parts & Accessories,1) 0-10,BLING/Magical Bling,4,0,0
239986801,CONTROL,Collectibles,1) 0-10,Auto Relist,10,0,0
2238869838,TREATMENT,Media,2) 10-20,Auto Relist,34,0,0
2752066840,CONTROL,Collectibles,5) 100-200,Shelby/Magi Native,1,0,0
1710379915,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,5,0,1
1748289049,CONTROL,Collectibles,1) 0-10,Auto Relist,23,0,0
1655957078,TREATMENT,Media,2) 10-20,Auto Relist,167,3,3
300933247,CONTROL,Media,3) 20-50,BLING/Magical Bling,3,1,1
109818513,TREATMENT,Lifestyle,2) 10-20,Auto Relist,4,0,1
1217924438,TREATMENT,Business & Industrial,2) 10-20,Shelby/Magi Native,4,0,0
1055798453,CONTROL,Fashion,1) 0-10,Helix,20,18,18
95005803,CONTROL,Collectibles,1) 0-10,Auto Relist,6,1,1
2821407076,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,1,1,1
458782413,CONTROL,Collectibles,1) 0-10,Helix,1,0,0
95797436,CONTROL,Collectibles,4) 50-100,Auto Relist,1,0,0
391545158,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,1,1,1
79000165,TREATMENT,Media,1) 0-10,Auto Relist,5,0,0
